oyez_identifier,scdb_justice_id,scdb_justice_name,display_name
john_paul_stevens,103,JPStevens,John Paul Stevens
sandra_day_oconnor,104,SDOConnor,Sandra Day O'Connor
antonin_scalia,105,AScalia,Antonin Scalia
anthony_m_kennedy,106,AMKennedy,Anthony M. Kennedy
david_h_souter,107,DHSouter,David H. Souter
clarence_thomas,108,CThomas,Clarence Thomas
ruth_bader_ginsburg,109,RBGinsburg,Ruth Bader Ginsburg
stephen_g_breyer,110,SGBreyer,Stephen G. Breyer
john_g_roberts_jr,111,JGRoberts,"John G. Roberts, Jr."
samuel_a_alito_jr,112,SAAlito,"Samuel A. Alito, Jr."
sonia_sotomayor,113,SSotomayor,Sonia Sotomayor
elena_kagan,114,EKagan,Elena Kagan
neil_gorsuch,115,NMGorsuch,Neil Gorsuch
brett_m_kavanaugh,116,BMKavanaugh,Brett M. Kavanaugh
amy_coney_barrett,117,ACBarrett,Amy Coney Barrett
ketanji_brown_jackson,118,KBJackson,Ketanji Brown Jackson
