model,rank,direction,feature,coefficient
logreg,1,petitioner (positive),emb_dim_157,10.878571465967408
logreg,2,petitioner (positive),emb_dim_245,5.901420220974283
logreg,3,petitioner (positive),emb_dim_342,5.411480005302016
logreg,4,petitioner (positive),emb_dim_51,4.637983796236288
logreg,5,petitioner (positive),emb_dim_300,4.412701298492218
logreg,6,petitioner (positive),emb_dim_373,4.394994247703673
logreg,7,petitioner (positive),emb_dim_190,4.319878197838705
logreg,8,petitioner (positive),emb_dim_201,4.22415098129697
logreg,9,petitioner (positive),emb_dim_312,4.093307160329042
logreg,10,petitioner (positive),emb_dim_26,3.8448902859045075
logreg,11,petitioner (positive),emb_dim_310,3.804564159728806
logreg,12,petitioner (positive),emb_dim_339,3.7834409069930426
logreg,13,petitioner (positive),emb_dim_132,3.6055979464441372
logreg,14,petitioner (positive),emb_dim_329,3.561386532843357
logreg,15,petitioner (positive),emb_dim_22,3.5165127941904766
logreg,16,petitioner (positive),emb_dim_44,3.513000733732326
logreg,17,petitioner (positive),emb_dim_50,3.5074712556653926
logreg,18,petitioner (positive),emb_dim_104,3.4718500562893864
logreg,19,petitioner (positive),emb_dim_382,3.4531750346013337
logreg,20,petitioner (positive),emb_dim_379,3.39468289097986
logreg,21,petitioner (positive),emb_dim_345,3.3664329844624192
logreg,22,petitioner (positive),emb_dim_78,3.315923920420338
logreg,23,petitioner (positive),emb_dim_303,3.263711951395623
logreg,24,petitioner (positive),emb_dim_229,3.1471168459226027
logreg,25,petitioner (positive),emb_dim_234,3.1359927503285943
logreg,26,petitioner (positive),emb_dim_218,3.123509281927204
logreg,27,petitioner (positive),emb_dim_340,3.0190446821941723
logreg,28,petitioner (positive),emb_dim_187,2.981961405726302
logreg,29,petitioner (positive),emb_dim_3,2.9108758063048916
logreg,30,petitioner (positive),emb_dim_250,2.850731086465015
logreg,1,respondent (negative),emb_dim_12,-5.7967278862423575
logreg,2,respondent (negative),emb_dim_63,-5.433003885961532
logreg,3,respondent (negative),emb_dim_243,-5.257705966488961
logreg,4,respondent (negative),emb_dim_73,-5.130252330318705
logreg,5,respondent (negative),emb_dim_199,-5.012956360602059
logreg,6,respondent (negative),emb_dim_216,-4.6642328532022885
logreg,7,respondent (negative),emb_dim_363,-4.563561074946398
logreg,8,respondent (negative),emb_dim_36,-4.334822076121476
logreg,9,respondent (negative),emb_dim_106,-4.29668249877865
logreg,10,respondent (negative),emb_dim_66,-4.194369773651139
logreg,11,respondent (negative),emb_dim_174,-4.1472866433146285
logreg,12,respondent (negative),emb_dim_72,-4.14335600866615
logreg,13,respondent (negative),emb_dim_186,-4.1421065283456215
logreg,14,respondent (negative),emb_dim_113,-4.075303538197953
logreg,15,respondent (negative),emb_dim_205,-4.040874941721331
logreg,16,respondent (negative),emb_dim_359,-4.002990916579481
logreg,17,respondent (negative),emb_dim_295,-3.9173863460527594
logreg,18,respondent (negative),emb_dim_189,-3.8804600420491195
logreg,19,respondent (negative),emb_dim_87,-3.7902680434381852
logreg,20,respondent (negative),emb_dim_260,-3.7756720470522818
logreg,21,respondent (negative),emb_dim_302,-3.7595967883375665
logreg,22,respondent (negative),emb_dim_210,-3.6801313744295263
logreg,23,respondent (negative),emb_dim_369,-3.645449414606825
logreg,24,respondent (negative),emb_dim_331,-3.6371720816659647
logreg,25,respondent (negative),emb_dim_378,-3.49097939725794
logreg,26,respondent (negative),emb_dim_77,-3.464758700929229
logreg,27,respondent (negative),emb_dim_46,-3.328277647740067
logreg,28,respondent (negative),emb_dim_4,-3.3221132670859483
logreg,29,respondent (negative),emb_dim_350,-3.3101619936513598
logreg,30,respondent (negative),emb_dim_71,-3.253545556329042
